Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
1,AGE,AGE,Age,False,<1M,M0,M0,under 1 month old,string
1,AGE,AGE,Age,False,<1Y,Y0,Y0,under 1 year old,string
1,AGE,AGE,Age,False,<5Y,Y0T4,Y0T4,under 5 years old,string
1,AGE,AGE,Age,False,<15Y,Y0T14,Y0T14,under 15 years old,string
1,AGE,AGE,Age,False,<18Y,Y0T17,Y0T17,under 18 years old,string
1,AGE,AGE,Age,False,ALLAGE,_T,_T,Total or no breakdown,string
1,AGE,AGE,Age,False,1-14,Y1T14,Y1T14,1 to 14 years old,string
1,AGE,AGE,Age,False,1-17,Y1T17,Y1T17,1 to 17 years old,string
1,AGE,AGE,Age,False,5-14,Y5T14,Y5T14,5 to 14 years old,string
1,AGE,AGE,Age,False,5-17,Y5T17,Y5T17,5 to 17 years old,string
1,AGE,AGE,Age,False,5+,Y_GE5,Y_GE5,5 years old and over,string
1,AGE,AGE,Age,False,6-14,Y6T14,Y6T14,6 to 14 years old,string
1,AGE,AGE,Age,False,6-17,Y6T17,Y6T17,6 to 17 years old,string
1,AGE,AGE,Age,False,6+,Y_GE6,Y_GE6,6 years old and over,string
1,AGE,AGE,Age,False,7-14,Y7T14,Y7T14,7 to 14 years old,string
1,AGE,AGE,Age,False,7-17,Y7T17,Y7T17,7 to 17 years old,string
1,AGE,AGE,Age,False,7+,Y_GE7,Y_GE7,7 years old and over,string
1,AGE,AGE,Age,False,10-14,Y10T14,Y10T14,10 to 14 years old,string
1,AGE,AGE,Age,False,10-17,Y10T17,Y10T17,10 to 17 years old,string
1,AGE,AGE,Age,False,10-24,Y10T24,Y10T24,10 to 24 years old,string
1,AGE,AGE,Age,False,10-74,Y10T74,Y10T74,10 to 74 years old,string
1,AGE,AGE,Age,False,10+,Y_GE10,Y_GE10,10 years old and over,string
1,AGE,AGE,Age,False,12-14,Y12T14,Y12T14,12 to 14 years old,string
1,AGE,AGE,Age,False,12-17,Y12T17,Y12T17,12 to 17 years old,string
1,AGE,AGE,Age,False,12-30,Y12T30,Y12T30,12 to 30 years old,string
1,AGE,AGE,Age,False,12+,Y_GE12,Y_GE12,12 years old and over,string
1,AGE,AGE,Age,False,14-24,Y14T24,Y14T24,14 to 24 years old,string
1,AGE,AGE,Age,False,14-28,Y14T28,Y14T28,14 to 28 years old,string
1,AGE,AGE,Age,False,14-29,Y14T29,Y14T29,14 to 29 years old,string
1,AGE,AGE,Age,False,14+,Y_GE14,Y_GE14,14 years old and over,string
1,AGE,AGE,Age,False,15-17,Y15T17,Y15T17,15 to 17 years old,string
1,AGE,AGE,Age,False,15-19,Y15T19,Y15T19,15 to 19 years old,string
1,AGE,AGE,Age,False,15-24,Y15T24,Y15T24,15 to 24 years old,string
1,AGE,AGE,Age,False,15-29,Y15T29,Y15T29,15 to 29 years old,string
1,AGE,AGE,Age,False,15-44,Y15T44,Y15T44,15 to 44 years old,string
1,AGE,AGE,Age,False,15-49,Y15T49,Y15T49,15 to 49 years old,string
1,AGE,AGE,Age,False,15-60,Y15T60,Y15T60,15 to 60 years old,string
1,AGE,AGE,Age,False,15-64,Y15T64,Y15T64,15 to 64 years old,string
1,AGE,AGE,Age,False,15-65,Y15T65,Y15T65,15 to 65 years old,string
1,AGE,AGE,Age,False,15-70,Y15T70,Y15T70,15 to 70 years old,string
1,AGE,AGE,Age,False,15-72,Y15T72,Y15T72,15 to 72 years old,string
1,AGE,AGE,Age,False,15-74,Y15T74,Y15T74,15 to 74 years old,string
1,AGE,AGE,Age,False,15-80,Y15T80,Y15T80,15 to 80 years old,string
1,AGE,AGE,Age,False,15-84,Y15T84,Y15T84,15 to 84 years old,string
1,AGE,AGE,Age,False,15+,Y_GE15,Y_GE15,15 years old and over,string
1,AGE,AGE,Age,False,16-24,Y16T24,Y16T24,16 to 24 years old,string
1,AGE,AGE,Age,False,16-65,Y16T65,Y16T65,16 to 65 years old,string
1,AGE,AGE,Age,False,16-74,Y16T74,Y16T74,16 to 74 years old,string
1,AGE,AGE,Age,False,16+,Y_GE16,Y_GE16,16 years old and over,string
1,AGE,AGE,Age,False,18-27,Y18T27,Y18T27,18 to 27 years old,string
1,AGE,AGE,Age,False,18-29,Y18T29,Y18T29,18 to 29 years old,string
1,AGE,AGE,Age,False,18-35,Y18T35,Y18T35,18 to 35 years old,string
1,AGE,AGE,Age,False,18-44,Y18T44,Y18T44,18 to 44 years old,string
1,AGE,AGE,Age,False,18+,Y_GE18,Y_GE18,18 years old and over,string
1,AGE,AGE,Age,False,19-65,Y19T65,Y19T65,19 to 65 years old,string
1,AGE,AGE,Age,False,20-24,Y20T24,Y20T24,20 to 24 years old,string
1,AGE,AGE,Age,False,20-29,Y20T29,Y20T29,20 to 29 years old,string
1,AGE,AGE,Age,False,20-30,Y20T30,Y20T30,20 to 30 years old,string
1,AGE,AGE,Age,False,29-49,Y20T49,Y20T49,20 to 49 years old,string
1,AGE,AGE,Age,False,20-64,Y20T64,Y20T64,20 to 64 years old,string
1,AGE,AGE,Age,False,20-74,Y20T74,Y20T74,20 to 74 years old,string
1,AGE,AGE,Age,False,25-29,Y25T29,Y25T29,25 to 29 years old,string
1,AGE,AGE,Age,False,25-34,Y25T34,Y25T34,25 to 34 years old,string
1,AGE,AGE,Age,False,25-64,Y25T64,Y25T64,25 to 64 years old,string
1,AGE,AGE,Age,False,25+,Y_GE25,Y_GE25,25 years old and over,string
1,AGE,AGE,Age,False,30,Y30,Y30,30 years old,string
1,AGE,AGE,Age,False,30-34,Y30T34,Y30T34,30 to 34 years old,string
1,AGE,AGE,Age,False,30-39,Y30T39,Y30T39,30 to 39 years old,string
1,AGE,AGE,Age,False,30-69,Y30T69,Y30T69,30 to 69 years old,string
1,AGE,AGE,Age,False,30-70,Y30T70,Y30T70,30 to 70 years old,string
1,AGE,AGE,Age,False,35,Y35,Y35,35 years old,string
1,AGE,AGE,Age,False,35-39,Y35T39,Y35T39,35 to 39 years old,string
1,AGE,AGE,Age,False,35-44,Y35T44,Y35T44,35 to 44 years old,string
1,AGE,AGE,Age,False,35-49,Y35T49,Y35T49,35 to 49 years old,string
1,AGE,AGE,Age,False,M36T59,M36T59,M36T59,36 to 59 months old,string
1,AGE,AGE,Age,False,40-44,Y40T44,Y40T44,40 to 44 years old,string
