Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C01,C01,C01,C01,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C02,C02,C02,C02,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C03,C03,C03,C03,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C04,C04,C04,C04,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C05,C05,C05,C05,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C06,C06,C06,C06,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C07,C07,C07,C07,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C08,C08,C08,C08,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C09,C09,C09,C09,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C10,C10,C10,C10,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C11,C11,C11,C11,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C12,C12,C12,C12,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C13,C13,C13,C13,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C14,C14,C14,C14,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C15,C15,C15,C15,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C16,C16,C16,C16,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C17,C17,C17,C17,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C18,C18,C18,C18,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C19,C19,C19,C19,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C20,C20,C20,C20,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C21,C21,C21,C21,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C22,C22,C22,C22,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C23,C23,C23,C23,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C24,C24,C24,C24,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C25,C25,C25,C25,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C26,C26,C26,C26,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C27,C27,C27,C27,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C28,C28,C28,C28,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C29,C29,C29,C29,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C30,C30,C30,C30,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C31,C31,C31,C31,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C32,C32,C32,C32,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C33,C33,C33,C33,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C34,C34,C34,C34,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C35,C35,C35,C35,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C36,C36,C36,C36,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C37,C37,C37,C37,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C38,C38,C38,C38,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C39,C39,C39,C39,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C40,C40,C40,C40,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C41,C41,C41,C41,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C42,C42,C42,C42,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C43,C43,C43,C43,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C44,C44,C44,C44,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C45,C45,C45,C45,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C46,C46,C46,C46,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C47,C47,C47,C47,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C48,C48,C48,C48,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C49,C49,C49,C49,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C50,C50,C50,C50,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C51,C51,C51,C51,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C52,C52,C52,C52,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C53,C53,C53,C53,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C54,C54,C54,C54,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C55,C55,C55,C55,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C56,C56,C56,C56,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C57,C57,C57,C57,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C58,C58,C58,C58,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C59,C59,C59,C59,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C60,C60,C60,C60,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C61,C61,C61,C61,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C62,C62,C62,C62,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C63,C63,C63,C63,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C64,C64,C64,C64,string
59,CUST_BREAKDOWN,CUSTOM_BREAKDOWN,Custom Breakdown,False,C65,C65,C65,C65,string
