Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,VLAAMSE_OVERHEID,C01,VLAAMSE_OVERHEID,Vlaamse overheid (Government of Flanders),string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,WALLOON_REGION,C02,WALLOON_REGION,Walloon region,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,GREATER_POLAND_VOIVODESHIP,C01,GREATER_POLAND_VOIVODESHIP,Greater Poland Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,LESSER_POLAND_VOIVODESHIP,C02,LESSER_POLAND_VOIVODESHIP,Lesser Poland Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,LODZ_VOIVODESHIP,C03,LODZ_VOIVODESHIP,Lódz Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,LOWER_SILESIAN_VOIVODESHIP,C04,LOWER_SILESIAN_VOIVODESHIP,Lower Silesian Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,MASOVIAN_VOIVODESHIP,C05,MASOVIAN_VOIVODESHIP,Masovian Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,PODKARPACKIE_VOIVODESHIP,C06,PODKARPACKIE_VOIVODESHIP,Podkarpackie Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,POMERANIAN_VOIVODESHIP,C07,POMERANIAN_VOIVODESHIP,Pomeranian Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,SILESIAN_VOIVODESHIP,C08,SILESIAN_VOIVODESHIP,Silesian Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,SWIETOKRZYSKIE_VOIVODESHIP,C09,SWIETOKRZYSKIE_VOIVODESHIP,Swietokrzyskie Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,WEST_POMERANIAN_VOIVODESHIP,C10,WEST_POMERANIAN_VOIVODESHIP,West Pomeranian Voivodeship,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,COMUNIDAD_AUTONOMA_DEL_PAIS_VASCO,C01,COMUNIDAD_AUTONOMA_DEL_PAIS_VASCO,Comunidad Autónoma del País Vasco,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,STATE_OF_MINNESOTA,C01,STATE_OF_MINNESOTA,State of Minnesota,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,ARTIGAS,C01,ARTIGAS,Artigas,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,CANELONES,C02,CANELONES,Canelones,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,CERRO_LARGO,C03,CERRO_LARGO,Cerro Largo,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,COLONIA,C04,COLONIA,Colonia,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,FLORES,C05,FLORES,Flores,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,FLORIDA,C06,FLORIDA,Florida,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,LAVALLEJA,C07,LAVALLEJA,Lavalleja,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,MALDONADO,C08,MALDONADO,Maldonado,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,MONTEVIDEO,C09,MONTEVIDEO,Montevideo,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,PAYSANDU,C10,PAYSANDU,Paysandú,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,RIO_NEGRO,C11,RIO_NEGRO,Río Negro,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,RIVERA,C12,RIVERA,Rivera,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,SALTO,C13,SALTO,Salto,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,SAN_JOSE,C14,SAN_JOSE,San José,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,TACUAREMBO,C15,TACUAREMBO,Tacuarembó,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,TREINTA_Y_TRES,C16,TREINTA_Y_TRES,Treinta Y Tres,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,CITY_OF_POZNAN,C01,CITY_OF_POZNAN,City of Poznan,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,CITY_OF_STAVANGER,C02,CITY_OF_STAVANGER,City of Stavanger,string
54,CUST_BREAKDOWN,GOVERNMENT_NAME,Government_Name,False,CITY_OF_TRONDHEIM,C01,CITY_OF_TRONDHEIM,City of Trondheim,string
