Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,ACIDT,HZT_ACIDT,HZT_ACIDT,Accident,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,ACIDR,HZT_ACIDR,HZT_ACIDR,Acid rain,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,ALLUV,HZT_ALLUV,HZT_ALLUV,Alluvion,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,ANIAK,HZT_ANIAK,HZT_ANIAK,Animal Attack,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,AVALE,HZT_AVALE,HZT_AVALE,Avalanche,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,BIOGL,HZT_BIOGL,HZT_BIOGL,Biological,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,CHESP,HZT_CHESP,HZT_CHESP,Chemical Spill,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,COSER,HZT_COSER,HZT_COSER,Coastal Erosion,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,COSFL,HZT_COSFL,HZT_COSFL,Coastal Flood,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,COLDW,HZT_COLDW,HZT_COLDW,Cold Wave,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,CSOLD,HZT_CSOLD,HZT_CSOLD,Consolidate,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,CONTM,HZT_CONTM,HZT_CONTM,Contamination,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,CYCLN,HZT_CYCLN,HZT_CYCLN,Cyclone,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,DFRST,HZT_DFRST,HZT_DFRST,Deforestation,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,DROUG,HZT_DROUG,HZT_DROUG,Drought,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,DZUD,HZT_DZUD,HZT_DZUD,Dzud,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,ERQAK,HZT_ERQAK,HZT_ERQAK,Earthquake,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,ELEST,HZT_ELEST,HZT_ELEST,Electric Storm,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,EPIDM,HZT_EPIDM,HZT_EPIDM,Epidemics,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,EPIZT,HZT_EPIZT,HZT_EPIZT,Epizootic,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,EROSN,HZT_EROSN,HZT_EROSN,Erosion,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,EXPLN,HZT_EXPLN,HZT_EXPLN,Explosion,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,EXTEM,HZT_EXTEM,HZT_EXTEM,Extreme Temperature,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,FIREX,HZT_FIREX,HZT_FIREX,Fire,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,FLSFL,HZT_FLSFL,HZT_FLSFL,Flash Flood,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,FLOOD,HZT_FLOOD,HZT_FLOOD,Flood,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,FOGXX,HZT_FOGXX,HZT_FOGXX,Fog,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,FRZRN,HZT_FRZRN,HZT_FRZRN,Freezing Rain,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,FROST,HZT_FROST,HZT_FROST,Frost,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,GLCFL,HZT_GLCFL,HZT_GLCFL,Glacial Lake Outburst Flood,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,HAILS,HZT_HAILS,HZT_HAILS,Hailstorm,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,HETWA,HZT_HETWA,HZT_HETWA,Heat Wave,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,HEVRN,HZT_HEVRN,HZT_HEVRN,Heavy Rain,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,INFET,HZT_INFET,HZT_INFET,Insect Infestation,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,INTOX,HZT_INTOX,HZT_INTOX,Intoxication,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,LAHAR,HZT_LAHAR,HZT_LAHAR,Lahar,string
27,COMPOSITE_BREAKDOWN,HAZARD_TYPE,Hazard type,False,LNDRG,HZT_LNDRG,HZT_LNDRG,Land Degradation,string
