Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
18,OCCUPATION,OCCUPATION,Type of occupation,False,DENT,ISCO08_2261,ISCO08_2261,Dentists,string
18,OCCUPATION,OCCUPATION,Type of occupation,False,NURSMID,ISCO08_222_322,ISCO08_222_322,Nursing and midwifery personnel,string
18,OCCUPATION,OCCUPATION,Type of occupation,False,PHAR,ISCO08_2262,ISCO08_2262,Pharmacists,string
18,OCCUPATION,OCCUPATION,Type of occupation,False,PHYS,ISCO08_221,ISCO08_221,Medical doctors,string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08,_T,_T,Total or no breakdown,string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-0,ISCO08_0,ISCO08_0,Armed forces occupations (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-1,ISCO08_1,ISCO08_1,Managers (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-2,ISCO08_2,ISCO08_2,Professionals (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-3,ISCO08_3,ISCO08_3,Technicians and associate professionals (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-4,ISCO08_4,ISCO08_4,Clerical support workers (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-5,ISCO08_5,ISCO08_5,Service and sales workers (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-6,ISCO08_6,ISCO08_6,"Skilled agricultural, forestry and fishery workers (isco-08)",string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-7,ISCO08_7,ISCO08_7,Craft and related trades workers (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-8,ISCO08_8,ISCO08_8,"Plant and machine operators, and assemblers (isco-08)",string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-9,ISCO08_9,ISCO08_9,Elementary occupations (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco08-X,ISCO08_X,ISCO08_X,Not elsewhere classified (isco-08),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88,_T,_T,Total or no breakdown,string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-0,ISCO88_0,ISCO88_0,Armed forces (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-1,ISCO88_1,ISCO88_1,"Legislators, senior officials and managers (isco-88)",string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-2,ISCO88_2,ISCO88_2,Professionals (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-3,ISCO88_3,ISCO88_3,Technicians and associate professionals (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-4,ISCO88_4,ISCO88_4,Clerks (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-5,ISCO88_5,ISCO88_5,Service workers and shop and market sales workers (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-6,ISCO88_6,ISCO88_6,Skilled agricultural and fishery workers (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-7,ISCO88_7,ISCO88_7,Craft and related trades workers (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-8,ISCO88_8,ISCO88_8,Plant and machine operators and assemblers (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-9,ISCO88_9,ISCO88_9,Elementary occupations (isco-88),string
18,OCCUPATION,OCCUPATION,Type of occupation,False,isco88-X,ISCO88_X,ISCO88_X,Not elsewhere classified (isco-88),string
