Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
15,PRODUCT,PRODUCT,Type of product,False,MAZ,CPC2_1_112,CPC2_1_112,Maize,string
15,PRODUCT,PRODUCT,Type of product,False,MIL,CPC2_1_118,CPC2_1_118,Millet,string
15,PRODUCT,PRODUCT,Type of product,False,RIC,CPC2_1_113,CPC2_1_113,Rice,string
15,PRODUCT,PRODUCT,Type of product,False,SOR,CPC2_1_114,CPC2_1_114,Sorghum,string
15,PRODUCT,PRODUCT,Type of product,False,WHE,CPC2_1_111,CPC2_1_111,Wheat,string
15,PRODUCT,PRODUCT,Type of product,False,AGR,AGG_AGR,AGG_AGR,Agricultural products,string
15,PRODUCT,PRODUCT,Type of product,False,ALP,_T,_T,Total or no breakdown,string
15,PRODUCT,PRODUCT,Type of product,False,ARM,AGG_ARMS,AGG_ARMS,Arms,string
15,PRODUCT,PRODUCT,Type of product,False,CLO,AGG_CLTH,AGG_CLTH,Clothing,string
15,PRODUCT,PRODUCT,Type of product,False,IND,AGG_IND,AGG_IND,Industrial products,string
15,PRODUCT,PRODUCT,Type of product,False,OIL,AGG_OIL,AGG_OIL,Oil,string
15,PRODUCT,PRODUCT,Type of product,False,TEX,AGG_TXT,AGG_TXT,Textiles,string
15,PRODUCT,PRODUCT,Type of product,False,BIM,MF1,MF1,Biomass,string
15,PRODUCT,PRODUCT,Type of product,False,FOF,MF4,MF4,Fossil fuels,string
15,PRODUCT,PRODUCT,Type of product,False,MEO,MF2,MF2,Metal ores,string
15,PRODUCT,PRODUCT,Type of product,False,NMM,MF3,MF3,Non-metallic minerals,string
15,PRODUCT,PRODUCT,Type of product,False,COL,MF41,MF41,Coal,string
15,PRODUCT,PRODUCT,Type of product,False,CPR,MF121,MF121,Crop residues,string
15,PRODUCT,PRODUCT,Type of product,False,CRO,MF11,MF11,Crops,string
15,PRODUCT,PRODUCT,Type of product,False,FEO,MF21,MF21,Ferrous ores,string
15,PRODUCT,PRODUCT,Type of product,False,GBO,MF122,MF122,Grazed biomass and fodder crops,string
15,PRODUCT,PRODUCT,Type of product,False,GAS,MF422,MF422,Natural gas,string
15,PRODUCT,PRODUCT,Type of product,False,NFO,MF22,MF22,Non-ferrous ores,string
15,PRODUCT,PRODUCT,Type of product,False,NMC,MF_AGG3A,MF_AGG3A,Non-metallic minerals - construction dominant,string
15,PRODUCT,PRODUCT,Type of product,False,NMA,MF_AGG3B,MF_AGG3B,Non-metallic minerals - industrial or agricultural dominant,string
15,PRODUCT,PRODUCT,Type of product,False,PET,MF421,MF421,Petroleum,string
15,PRODUCT,PRODUCT,Type of product,False,WCH,MF14,MF14,Wild catch and harvest,string
15,PRODUCT,PRODUCT,Type of product,False,WOD,MF13,MF13,Wood,string
15,PRODUCT,PRODUCT,Type of product,False,ONT,MF413,MF413,Oil shale and tar sands,string
