Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,AUCKLAND,C01,SAMPLING_STATION_AUCKLAND,Auckland,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,BAYOFPLENTY,C02,SAMPLING_STATION_BAYOFPLENTY,Bay of Plenty,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,CHATHAMISLANDS,C03,SAMPLING_STATION_CHATHAMISLANDS,Chatham Islands,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,DUNEDINPYLON,C04,SAMPLING_STATION_DUNEDINPYLON,Dunedin Pylon,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,GOLDENBAY,C05,SAMPLING_STATION_GOLDENBAY,Golden Bay,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,KC10,C01,SAMPLING_STATION_KC10,KC10,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,MARLBOROUGHSOUNDS,C06,SAMPLING_STATION_MARLBOROUGHSOUNDS,Marlborough Sounds,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSDAR,C01,SAMPLING_STATION_NRSDAR,NRSDAR,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSKAI,C02,SAMPLING_STATION_NRSKAI,NRSKAI,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSMAI,C03,SAMPLING_STATION_NRSMAI,NRSMAI,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSNSI,C04,SAMPLING_STATION_NRSNSI,NRSNSI,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSPHB,C05,SAMPLING_STATION_NRSPHB,NRSPHB,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSROT,C06,SAMPLING_STATION_NRSROT,NRSROT,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,NRSYON,C07,SAMPLING_STATION_NRSYON,NRSYON,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-18,C01,SAMPLING_STATION_OISO-18,OISO-18,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-19,C02,SAMPLING_STATION_OISO-19,OISO-19,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-21,C03,SAMPLING_STATION_OISO-21,OISO-21,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-22,C04,SAMPLING_STATION_OISO-22,OISO-22,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-24,C05,SAMPLING_STATION_OISO-24,OISO-24,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-26,C06,SAMPLING_STATION_OISO-26,OISO-26,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-27,C07,SAMPLING_STATION_OISO-27,OISO-27,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OISO-28,C08,SAMPLING_STATION_OISO-28,OISO-28,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OVIDE-2010,C09,SAMPLING_STATION_OVIDE-2010,OVIDE-2010,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OVIDE-2012,C10,SAMPLING_STATION_OVIDE-2012,OVIDE-2012,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,OVIDE-2014,C11,SAMPLING_STATION_OVIDE-2014,OVIDE-2014,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,QU39,C02,SAMPLING_STATION_QU39,QU39,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,STEWARTISLAND,C07,SAMPLING_STATION_STEWARTISLAND,Stewart Island,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,TASMANBAY,C08,SAMPLING_STATION_TASMANBAY,Tasman Bay,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,WELLINGTON,C09,SAMPLING_STATION_WELLINGTON,Wellington,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,WESTCOAST-JACKSONBAY,C10,SAMPLING_STATION_WESTCOAST-JACKSONBAY,Westcoast-Jackson Bay,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,R-VBELGICA,C01,SAMPLING_STATION_R-VBELGICA,R/V Belgica,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,BRASIL1_06,C01,SAMPLING_STATION_BRASIL1_06,Brasil1_06,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,BRASIL2_13,C02,SAMPLING_STATION_BRASIL2_13,Brasil2_13,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,BRASIL3_15,C03,SAMPLING_STATION_BRASIL3_15,Brasil3_15,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,BRASIL4_17,C04,SAMPLING_STATION_BRASIL4_17,Brasil4_17,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,CANADA,C03,SAMPLING_STATION_CANADA,Canada,string
37,CUST_BREAKDOWN,SAMPLING_STATIONS,Sampling Stations,False,CHILE,C01,SAMPLING_STATION_CHILE,Chile,string
