Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CON_USD,CON_USD,CON_USD,Constant USD,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,LCU,LCU,LCU,Local currency,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,mgr/m^3,GPERM3,MGR_M_3,Micrograms per cubic meter,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,HECTARES,HA,HECTARES,Hectares,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,INDEX,IX,INDEX,Index,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG,KG,KG,Kilograms,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG_CO2_PER_GDP_CON_PPP_USD,KG_CO2_PER_GDP_CON_PPP_USD,KG_CO2_PER_GDP_CON_PPP_USD,Kilogrammes of CO2 per constant USD PPP,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG_PER_CON_USD,KG_PER_CON_USD,KG_PER_CON_USD,Kilograms per constant USD,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KM,KM,KM,Kilometres,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KMSQ,KM2,KMSQ,Square kilometers,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,LCUPUSD,LCU_PPP_USD,LCUPUSD,Local currency per USD (PPP),string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,LTPUREAL,LITRES_PURE_ALCOHOL,LTPUREAL,Litres pure alcohol,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,LIVE_BIRTHS,LIVE_BIRTHS,LIVE_BIRTHS,Live births (deprecated),string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,MJ_PER_GDP_CON_PPP_USD,MJ_PER_GDP_CON_PPP_USD,MJ_PER_GDP_CON_PPP_USD,Megajoules per USD constant 2011 PPP GDP,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,NOTAP,NA,NOTAP,Not applicable,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,NUMBER,NUMBER,NUMBER,Number,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100_LIVE_BIRTHS,PER_100_LIVE_BIRTHS,PER_100_LIVE_BIRTHS,Per 100 live births,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100_POP,PER_100_POP,PER_100_POP,Per 100 population,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_1000_LIVE_BIRTHS,PER_1000_LIVE_BIRTHS,PER_1000_LIVE_BIRTHS,"Per 1,000 live births",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_1000_POP,PER_1000_POP,PER_1000_POP,"Per 1,000 population",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_1000_UNINFECTED_POP,PER_1000_UNINFECTED_POP,PER_1000_UNINFECTED_POP,"Per 1,000 uninfected population",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_EMP,PER_100000_EMP,PER_100000_EMP,"Per 100,000 employees",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_FTE,PER_100000_FTE,PER_100000_FTE,"Per 100,000 full-time equivalents",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_LIVE_BIRTHS,PER_100000_LIVE_BIRTHS,PER_100000_LIVE_BIRTHS,"Per 100,000 live births",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_POP,PER_100000_POP,PER_100000_POP,"Per 100,000 population",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_PRSN_INSR,PER_100000_PRSN_INSR,PER_100000_PRSN_INSR,"Per 100,000 persons insured",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_WKRS_EMP,PER_100000_WKRS_EMP,PER_100000_WKRS_EMP,"Per 100,000 workers employed",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_WKRS_EXPD,PER_100000_WKRS_EXPD,PER_100000_WKRS_EXPD,"Per 100,000 workers exposed to risk",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_1000000_POP,PER_1000000_POP,PER_1000000_POP,Per million population,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PERCENT,PT,PERCENT,Percentage,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,POP,POP,POP,Population (deprecated),string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PROBABILITY,PROB,PROBABILITY,Probability,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PV_USD,PV_USD,PV_USD,USD in net present value terms,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PV_USD_2009,PV_USD_2009,PV_USD_2009,USD in end-2009 net present value terms,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,Ratio,RO,RATIO,Ratio,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,METONS,T,METONS,Metric Tons,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,T_KM,T_KM,T_KM,Tonne kilometres,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CU_USD,USD,CU_USD,USD,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,USD_GDP_PPP,PER_USD_GDP_PPP,USD_GDP_PPP,Per 1 USD GDP (PPP),string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_1000_USD,PER_1000_USD,PER_1000_USD,Per 1000 USD,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,T_PER_HA,T_PER_HA,T_PER_HA,Tonnes per hectare,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CON_10USD,CON_10USD,CON_10USD,Constant 2010 United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CON_15USD_M,CON_15USD_M,CON_15USD_M,Millions of constant 2015 United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CON_15USD_B,CON_15USD_B,CON_15USD_B,Billions of constant 2015 United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CON_USD_B,CON_USD,CON_USD_B,Billions of constant United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CON_USD_M,CON_USD,CON_USD_M,Millions of constant United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CU_USD_M,USD,CU_USD_M,Millions of current United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,CUR_LCU,CUR_LCU,CUR_LCU,Current local currency,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,FM_RATIO,FM_RATIO,FM_RATIO,Female/male,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG_CO2_PER_GDP_CON_PPP_10USD,KG_CO2_PER_GDP_CON_PPP_10USD,KG_CO2_PER_GDP_CON_PPP_10USD,Kilogrammes of CO2 per constant 2010 United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG_PER_CON_05USD,KG_PER_CON_05USD,KG_PER_CON_05USD,Kilograms per constant 2005 United States dollar,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG_PER_CON_11USD,KG_PER_CON_11USD,KG_PER_CON_11USD,Kilograms per constant 2011 United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,KG_PER_CON_10USD,KG_PER_CON_10USD,KG_PER_CON_10USD,Kilogrammes of CO2 per constant 2010 United States dollars,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,LH_RATIO,LH_RATIO,LH_RATIO,Low/high socio-economic status,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,NUM_POP_5T17Y,NUM_POP_5T17Y,NUM_POP_5T17Y,Number of children aged 5-17 years,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,NUM_TH,NUMBER,NUM_TH,Thousands,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,NUM_U5_M,NUM_U5_M,NUM_U5_M,Millions of children aged 0-59 months,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,P_KM,P_KM,P_KM,Revenue passenger kilometres,string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_1000_W_15T19Y,PER_1000_W_15T19Y,PER_1000_W_15T19Y,"Per 1,000 women aged 15-19 years old",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_100000_POP_OVER15Y,PER_100000_POP_OVER15Y,PER_100000_POP_OVER15Y,"Per 100,000 adults",string
8,UNIT_MEASURE,UNIT_MEASURE,Units,True,PER_MARW_20T24Y,PT,PER_MARW_20T24Y,% of married women aged 20-24 years,string
